iupac,log_solubility_mols_per_litre,smiles
4-Methyl-2-pentanol,-0.8,CC(C)CC(C)O
RTI 11,-3.928,O2c1ccc(N)cc1N(C)C(=O)c3cc(C)ccc23 
"2,2-Dimethylpropanol",-0.4,CC(C)(C)CO
Triadimefon,-3.61,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n2cncn2
Isocarboxazid,-2.461,Cc1cc(no1)C(=O)NNCc2ccccc2
Propylene,-1.08,CC=C
Dichlorophen,-3.953,Oc1ccc(Cl)cc1Cc2cc(Cl)ccc2O
Desmedipham,-4.632,CCOC(=O)Nc2cccc(OC(=O)Nc1ccccc1)c2 
Anthraquinone,-5.19,O=C1c2ccccc2C(=O)c3ccccc13
2-Octanol,-2.09,CCCCCCC(C)O
Oxycarboxin,-2.281,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1
Butylbenzene,-4.06,CCCCc1ccccc1
parabanic acid,-0.4,O=C1NC(=O)C(=O)N1 
Abate,-6.237,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1
Chlorthalidone,-3.451,NS(=O)(=O)c1cc(ccc1Cl)C2(O)NC(=O)c3ccccc23
Isobutyl acetate,-1.21,CC(C)COC(=O)C
"2,2,3-Trimethylbutane",-4.36,CC(C)C(C)(C)C
"2,3,3',4,4'6-PCB",-7.66,Clc1ccc(c(Cl)c1Cl)c2c(Cl)cc(Cl)c(Cl)c2Cl 
Phthalonitrile,-2.38,N#Cc1ccccc1C#N
m-Nitrotoluene,-2.44,Cc1cccc(c1)N(=O)=O
halothane,-1.71,FC(F)(F)C(Cl)Br 
Oxamyl,0.106,CNC(=O)ON=C(SC)C(=O)N(C)C
Thiometon,-3.091,CCSCCSP(=S)(OC)OC
2-Methylbutane,-3.18,CCC(C)C
Stirofos,-4.522,COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl
